tratamiento,combinado,tiempo_1,tiempo_2,tiempo_3,promedio
1,12,-0.190490,-0.295981,-0.430747,-0.305740
1,13,-0.105943,-0.207429,-0.291865,-0.201745
1,14,-0.071752,-0.152579,-0.233135,-0.152489
1,15,-0.045541,-0.094145,-0.282121,-0.140602
1,16,-0.058756,-0.106828,-0.267877,-0.144487
1,17,-0.147809,-0.238192,-0.374063,-0.253355
1,18,-0.094644,-0.201729,0.087130,-0.069748
1,19,0.047334,0.090841,0.217663,0.118613
2,21,0.041208,0.115093,0.133842,0.096714
2,23,0.055195,0.012288,0.015750,0.027744
2,24,-0.119138,-0.198104,-0.299966,-0.205736
2,25,-0.113851,-0.156956,-0.329949,-0.200252
2,26,-0.084989,-0.140867,-0.302150,-0.176002
2,27,-0.177666,-0.274730,-0.392347,-0.281581
2,28,-0.143054,-0.246589,-0.405694,-0.265113
2,29,-0.101100,-0.160385,-0.364145,-0.208543
3,31,-0.010516,-0.100545,-0.200223,-0.103761
3,32,-0.102547,-0.226021,-0.359952,-0.229507
3,34,0.077890,-0.009213,-0.113275,-0.014866
3,35,0.015862,-0.058017,-0.237101,-0.093085
3,36,-0.023294,-0.047695,-0.214443,-0.095144
3,37,-0.012209,-0.093636,-0.209437,-0.105094
3,38,-0.048845,-0.114257,-0.188611,-0.117238
3,39,0.003666,-0.052701,-0.223878,-0.090971
4,41,-0.068394,-0.171053,-0.268173,-0.169207
4,42,-0.108596,-0.236403,-0.446592,-0.263864
4,43,-0.075195,-0.169068,-0.254040,-0.166101
4,45,-0.061094,-0.132953,-0.239109,-0.144385
4,46,-0.038625,-0.090572,-0.259560,-0.129586
4,47,-0.086237,-0.190375,-0.278424,-0.185012
4,48,-0.030388,-0.142665,-0.298423,-0.157159
4,49,-0.017423,-0.080227,-0.255040,-0.117563
5,51,-0.046761,-0.150851,-0.304419,-0.167343
5,52,-0.168732,-0.264162,-0.453509,-0.295468
5,53,-0.028716,-0.136959,-0.289236,-0.151637
5,54,0.022720,-0.020745,-0.237630,-0.078552
5,56,0.007219,-0.051196,-0.300166,-0.114714
5,57,-0.075115,-0.171292,-0.398366,-0.214924
5,58,-0.091018,-0.131926,-0.294613,-0.172519
5,59,-0.012132,-0.057438,-0.286817,-0.118796
6,61,-0.090216,-0.222687,-0.361772,-0.224892
6,62,-0.165870,-0.297004,-0.456575,-0.306483
6,63,-0.092733,-0.203711,-0.318345,-0.204930
6,64,-0.090953,-0.155336,-0.259077,-0.168455
6,65,-0.085138,-0.144091,-0.301109,-0.176779
6,67,-0.135705,-0.238653,-0.363598,-0.245985
6,68,-0.119774,-0.215684,-0.289583,-0.208347
6,69,-0.052988,-0.117850,-0.263375,-0.144738
7,71,-0.067268,-0.141381,-0.254063,-0.154237
7,72,-0.161089,-0.247727,-0.354243,-0.254353
7,73,-0.088894,-0.158935,-0.261262,-0.169697
7,74,0.020399,-0.049391,-0.112101,-0.047031
7,75,-0.082976,-0.053012,-0.221360,-0.119116
7,76,-0.089082,-0.112686,-0.276547,-0.159439
7,78,-0.127461,-0.193925,-0.248071,-0.189819
7,79,-0.041989,-0.089875,-0.238805,-0.123556
8,81,-0.100131,-0.163344,-0.267002,-0.176826
8,82,-0.178424,-0.305127,-0.473454,-0.319002
8,83,-0.096985,-0.174990,-0.281682,-0.184553
8,84,-0.101209,-0.148376,-0.261740,-0.170442
8,85,-0.065725,-0.122907,-0.292881,-0.160504
8,86,-0.108730,-0.143293,-0.312831,-0.188285
8,87,-0.152405,-0.243508,-0.367045,-0.254319
8,89,-0.093692,-0.144028,-0.341600,-0.193107
9,91,-0.140282,-0.277346,-0.406587,-0.274738
9,92,-0.199174,-0.327344,-0.521449,-0.349322
9,93,-0.109217,-0.223187,-0.334588,-0.222331
9,94,-0.107460,-0.185260,-0.287453,-0.193391
9,95,-0.073135,-0.136336,-0.311594,-0.173688
9,96,-0.112786,-0.175806,-0.354660,-0.214417
9,97,-0.128934,-0.241664,-0.385103,-0.251901
9,98,-0.133336,-0.257328,-0.414168,-0.268277
